label,experiment,dim,n_layers,n_heads,n_kv_heads,vocab,tokenizer,quant,steps,converged,params_total,params_non_embed,val_loss,tokens_per_byte,bits_per_byte,coherence,checkpoint_dir,error
qat_ternary_d96_dep,quant,96,5,8,4,512,tok512dep,ternary,5000,0,557088,507936,2.0754,0.3677,1.1009,,out_qat_ternary_d96_dep,
qat_ternary_d96_long,quant,96,5,8,4,512,tok512,ternary,30000,1,557088,507936,1.4763,0.4813,1.0252,,out_qat_ternary_d96_long,
qat_ternary_long,quant,64,5,8,4,512,tok512,ternary,30000,1,279232,246464,1.7446,0.4813,1.2114,,out_qat_ternary_long,
rag_qa_279k,rag,64,5,8,4,512,tok512,,1500,0,279232,246464,,,,,out_rag_qa_279k,no best_val_loss (fine-tune); bpb not comparable
rag_qa_d128,rag,128,5,8,4,512,tok512,,1500,0,988544,923008,,,,,out_rag_qa_d128,no best_val_loss (fine-tune); bpb not comparable
tok_256,tokenizer,64,5,8,4,256,tok256,,5000,0,262848,246464,1.5857,0.4813,1.1011,,out_tok_256,
tok_256_long,tokenizer,64,5,8,4,256,tok256,,30000,1,262848,246464,1.3469,0.4813,0.9353,,out_tok_256_long,
tok_512dep,tokenizer,64,5,8,4,512,tok512dep,,5000,0,279232,246464,1.9569,0.3677,1.038,,out_tok_512dep,
tok_512dep_long,tokenizer,64,5,8,4,512,tok512dep,,30000,1,279232,246464,1.6783,0.3677,0.8902,,out_tok_512dep_long,
tok_512nf,tokenizer,64,5,8,4,512,tok512nf,,5000,0,279232,246464,1.9403,0.3674,1.0286,,out_tok_512nf,
tok_512nf_long,tokenizer,64,5,8,4,512,tok512nf,,30000,1,279232,246464,1.6562,0.3674,0.878,,out_tok_512nf_long,
tok_512uni,tokenizer,64,5,8,4,512,tok512uni,,5000,0,279232,246464,1.5578,0.4854,1.0908,,out_tok_512uni,
tok_512uni_long,tokenizer,64,5,8,4,512,tok512uni,,30000,1,279232,246464,1.3051,0.4854,0.9139,,out_tok_512uni_long,
width_d128,width,128,5,8,4,512,tok512,,5000,0,988544,923008,1.183,0.4813,0.8215,,out_width_d128,
width_d128_long,width,128,5,8,4,512,tok512,,30000,1,988544,923008,1.0144,0.4813,0.7044,,out_width_d128_long,
width_d32,width,32,5,8,4,512,tok512,,5000,0,78176,61792,2.1167,0.4813,1.4699,,out_width_d32,
width_d32_long,width,32,5,8,4,512,tok512,,30000,1,78176,61792,1.7571,0.4813,1.2201,,out_width_d32_long,
width_d48,width,48,5,8,4,512,tok512,,5000,0,151824,127248,1.8282,0.4813,1.2695,,out_width_d48,
width_d48_long,width,48,5,8,4,512,tok512,,30000,1,151824,127248,1.5361,0.4813,1.0666,,out_width_d48_long,
width_d64_long,width,64,5,8,4,512,tok512,,30000,1,279232,246464,1.3268,0.4813,0.9214,,out_width_d64_long,
width_d96_long,width,96,5,8,4,512,tok512,,30000,1,557088,507936,1.1226,0.4813,0.7795,,out_width_d96_long,
TinyStories-1M,baseline,,,,,50257,GPT-Neo-50k,,,,3745984,529536,,,0.8004,5.19,roneneldan/TinyStories-1M,continuous data00 (bpb_baseline.py)
TinyStories-3M,baseline,,,,,50257,GPT-Neo-50k,,,,8278400,1845504,,,0.6501,6.26,roneneldan/TinyStories-3M,continuous data00 (bpb_baseline.py)
TinyStories-656K,baseline,,,,,2048,custom-2048,,,,656000,394000,,,0.969,,raincandy-u/TinyStories-656K,native per-story data00 (bpb_native.py)
